username,star,time,content,img_url
老人,5,2019-02-24 23:06:18,没记错的话，第一次看项目的时候是在初二。那个温柔的少年，那个可爱的娘口三三，那个永远晴朗的夏天，那些千奇百怪的妖怪，全部全部都是我记忆中的《夏目友人帐》。夏目我见过最温柔的二次元少年，这也是我觉得最美好的日本动漫，三月七日，我来了！,https://img3.doubanio.com/icon/u153292498-2.jpg
true偶尔,5,2019-03-07 09:38:20,淡淡的忧伤，又很治愈的一部动漫，或许这就是一个人最好的状态,https://img3.doubanio.com/icon/u188698010-2.jpg
昵称25197,5,2019-03-07 09:00:15,从我第一次开始看夏目友人帐起，我就深深被这部作品打动，它打破了以往我对中国传统文化中的“妖怪”的既定印象，给我们展示了一个充满温情的绚丽梦境，热泪盈眶的瞬间，我好想回到童年,https://img3.doubanio.com/icon/u172449635-2.jpg
流年*指尖的沙,4,2019-03-07 09:03:48,只要有想见的人，就不再孤身一人。等了好久，你终于来啦，不负期待。很好看。影片“温暖治愈”的气质恰与初春契合，刚好邀约身边人一同观影。我想大胆向“想见的人”表白——不错过春天也不错过你。,https://img3.doubanio.com/icon/u171975725-2.jpg
诸葛若见,4,2019-03-07 16:26:35,有形的东西容易消亡，而温柔的回忆，却永远存在。百妖日行，有趣而善良。,https://img3.doubanio.com/icon/u48849613-171.jpg
what'swilliam,3,2019-03-07 23:02:14,3.4星（非TV版粉丝）。还算及格和完整的剧场版TV动画。1.风景画风唯美，人物画风。。。对大银幕来有点过于简洁甚至掉帧。2.如同想到台湾青春片就想到“蓝色”，想到日本动画就会想到“充满蝉声的夏天”。3.猫师父太可爱啦~4.本片融合了治愈温暖和惆怅忧伤，这种感觉非常奇妙，有文艺散文的feel。5.看完会有想哭的冲动是怎么回事。,https://img3.doubanio.com/icon/u52286623-2.jpg
叶隐,4,2019-03-07 17:32:47,如果活着总要变成记忆，而记忆无非是一种信念，篡改记忆和篡改过去没什么差别，发生过和从未发生也无差别，如果夏目（唯一的记忆保有者）也忘记，一切又变成故事中的故事，而故事中的故事就等于故事就等于现实。究竟如何活过已经不那么重要了。然而故事里的人还是活得那么好，活在山间鸟鸣中，活在没人嗤笑故事的人间，活在随处有神的村庄，有雕花和家庭合影的小小房间里。人间有多好呢，这故事就有多好。,https://img3.doubanio.com/icon/u91948912-22.jpg
宋生,4,2019-03-07 15:59:12,脱出原著节奏慢，粉丝向最后硬塞唐突，但是能在大屏幕看到纳兹咩，还能抱怨什么呢？哪怕这个系列适合的是一个人静静地看。这次依旧说了一个结缘与羁绊的故事，孤独的人是会互相吸引的，当离别成为必然，能忘记是一种福分，相信看夏目友人帐的都没有恶人，愿你也能成熟地善待世界。话说看夏目的男生这么少的么，我的厅除我之外全是姑娘。。,https://img3.doubanio.com/icon/u63907968-1.jpg
久碍,5,2019-03-07 10:04:40,忧郁  温暖  治愈                                          我爱的那个少年 还是那么温柔❤️,https://img3.doubanio.com/icon/u171904772-10.jpg
撒娇硬汉柚木烟,4,2018-10-30 09:11:05,大清早在新宿电影院看的，红眼航班的原因看睡着了一会儿…有丝分裂的娘口三三是真的萌,https://img3.doubanio.com/icon/u2278119-113.jpg
efuchan♡,5,2018-11-07 19:22:24,夏目友人帐会还你一个最温柔的世界。这里的人类与妖怪和平共处，蓝天白云，阳光水滴，一草一木都是纯净而治愈人心的存在。（小喵老师们太可爱啦，猫还是不要太肥的好hhh,https://img3.doubanio.com/icon/u49384148-910.jpg
So Magic,3,2019-03-07 14:42:17,如果关于一个人的记忆真的都变成花絮飞走了，那他存在过的证据究竟是什么呢,https://img3.doubanio.com/icon/u1340420-232.jpg
seabisuit,3,2019-03-07 23:04:47,没看过剧集误入粉丝场，氛围还真的很好。清新干净的画风没想到是妖怪的题材，请把我的名字还给我，日本那种对大自然的敬畏和山神的信仰才能催生出这样的故事，馋嘴萌宠的猫咪老师承担了大部分的看点。,https://img3.doubanio.com/icon/u1293096-21.jpg
vivi,4,2019-03-08 15:53:20,有时我也说不清“治愈”是什么，大概是不再害怕伤疤被揭或是挑战降临吧。,https://img1.doubanio.com/icon/u2129993-247.jpg
王水琴珈,5,2018-11-20 08:47:25,夏目的温柔，三三的调皮。那个雨水很多的夏天，那个妖怪很皮的世界,https://img1.doubanio.com/icon/u141236924-8.jpg
舒农,3,2018-12-11 14:41:02,风吻别芒草，剩尘埃路遥遥。说是治愈，其实是接受生命里所有离别的丧。以及，猫老师分裂成3个我真的不可以，不行！,https://img1.doubanio.com/icon/u1303086-68.jpg
团小纸,3,2019-03-07 21:34:46,明明是个夏天结束，秋风起，吹皱记忆波澜的故事，到了国内却已经是樱花要开的时候了，等着新的邂逅新的相遇，这种不合时宜折损了夏目的美感，加上这制作真的不太行，大银幕看着好多镜头都崩……替之前上的声之形委屈，京阿尼的制作真的比这要好上很多很多。电影院听到kamiya的声音还是一本满足,https://img3.doubanio.com/icon/u34646513-490.jpg
余时,3,2019-03-07 20:44:22,没达到期待值，缓缓地有些瞌睡了，剧情比较简单，有些前因后果觉得逻辑不怎么通。,https://img3.doubanio.com/icon/u45000531-10.jpg
申由己,5,2019-03-07 23:50:48,日本人的想法真是腻害，思路清奇，果真菊与刀！非常喜欢这个故事。,https://img1.doubanio.com/icon/u4134449-17.jpg

P0P,5,2019-03-08 13:53:33,人与人、人与怪的kizuna，无处不在的季节感，妖怪比人还有诚信。构成挺好，故事完整性满分，制作只能说比TV版好一点，剪辑转场加分。早场包场观影感受太棒(虽然音响是真的很差)，在大荧幕听到卡米亚的声音也算此生无憾了，毕竟十年情感，高良健吾好软好软啊。。。官方太黑了，一次出三个周边,https://img3.doubanio.com/icon/u1307390-171.jpg
三七,4,2019-01-18 23:32:56,还是记忆中温柔的风格。娘口三三真是越来越胖了。,https://img1.doubanio.com/icon/u1938235-257.jpg
Panda的阴影,4,2019-03-07 21:23:48,这个剧场版于我最有意思的也是猫咪老师（娘口三三）分裂成三只小喵的部分了，至于故事，感觉就像是一集加长版《夏目友人帐》。,https://img3.doubanio.com/icon/u53485894-4.jpg
鲸鱼君,3,2019-03-07 17:25:48,《夏目友人帐》：要是看着剧集长大并喜欢上日本妖怪文化的话，可能非看不可了。比《镰仓物语》更轻盈，更有治愈的功效，特别是猫咪老师真心萌翻，它代表了猫本来就该有的态度，分裂成三个之后算是返璞归真了。即使不是剧集版的粉丝，也不会有理解障碍，不过听说有人看哭了，这个难度还是蛮大的。★★★,https://img3.doubanio.com/icon/u4370686-15.jpg
Lycidas,3,2019-03-08 15:18:52,除了分裂的猫老师和躲在墙里的害羞妖怪之外全无亮点，精彩程度拉到tv版里连中等都排不上吧，夏目的故事体量非常适合短篇幅，拖成一个半小时的剧场版就很寡淡。过于单元化的情节一直是这个系列硬伤，完全可以有更高级也不伤害日常感的设定，但主创一股浓浓的压根不愿尝试的吃老本感（不是猫卖萌就能解决一切的,https://img3.doubanio.com/icon/u46752165-32.jpg
Strelizeia,4,2019-03-07 21:23:20,每次夏目友人帐总是戳中你内心的温油之处，这个剧场版里的大妖怪只能自己承接着那独一份的记忆啊，还好你也被很多人温柔对待呢！不过不自觉地接收着sabisi啊寂しい然后娘口三三这次真的有三个哦，这个复刻身体的表现手法真是美哭了，感谢有夏目陪伴的日子。,https://img3.doubanio.com/icon/u3392754-170.jpg
高等游民阿朽,4,2019-03-07 20:34:59,终于知道猫咪老师是怎样的存在啦。,https://img1.doubanio.com/icon/u1326807-457.jpg
Captain_C,4,2019-03-07 17:17:48,与遗忘有关的故事总是那么美好而忧伤，漫天飞絮中是你曾经的痕迹，笑中带泪里是我们一起的记忆。,https://img3.doubanio.com/icon/u125256660-5.jpg
Black Tulip,3,2019-03-07 18:35:21,遗忘也好，分裂也罢。终究是收起你的孤独，拥抱你的温暖。,https://img1.doubanio.com/icon/u2428240-39.jpg
水仙操,4,2019-03-07 20:20:53,“白衬衫的温柔少年，打一个人” — 是夏目啊,https://img3.doubanio.com/icon/u3874720-3.jpg
下饭菜,4,2019-03-08 15:25:14,故事很平淡，可是只要看见圆滚滚的猫咪老师，看到夏目，即便平淡，我也依然很喜欢。,https://img3.doubanio.com/icon/u71586138-4.jpg
二 天,0,2019-03-07 19:32:59,高良老师（嚎叫,https://img1.doubanio.com/icon/u1696272-138.jpg
