cursor,author,mid,content,ctime,likes,score,final_watch,date
77064603187937,陽光少年孫笑川,36980197,我觉得这部番最大的内涵就是当你伤心的想要伤害自己或是自杀的时候，你体内的细胞却在拼命救你，他们什么也不顾，只要你安好。,1550148738,3,8,看至第7话,2019-02-14 12:52:18
77064603187937,席兰雅,95863234,突然就更新了，简直猝不及防，我还以为把black动画化了,1545843834,53,10,看至第13话,2018-12-26 17:03:54
77064603187937,Lee不开You,100708091,好番~,1531028013,0,10,看至Special,2018-07-08 05:33:33
77064603187937,你竟然算计我,23136555,又到了生物课的时间了！这部番真的好棒的！不仅故事精彩，教育意义更为巨大！画面音乐没的说，五星好评！还有我永远喜欢巨噬细胞！,1550335244,0,10,看至第10话,2019-02-16 16:40:44
77064603187937,抱女鬼唱征服,24397035,日常番剧，补充点生理知识，挺不错的。,1550328534,0,8,看至Special,2019-02-16 14:48:54
77064603187937,殿下i,88846629,真好。,1550312059,0,10,看至第12话,2019-02-16 10:14:19
77064603187937,大三笠,247171094,还行哟,1550307900,0,6,看至第1话,2019-02-16 09:05:00
77064603187937,Infernal18,16100316,中规中矩的日常番,1550293922,0,6,看至第13话,2019-02-16 05:12:02
77064603187937,顾浅墨墨,19829392,超可爱的哈哈哈哈我爱白哥谢谢,1550204648,1,10,看至Special,2019-02-15 04:24:08
77047423272502,黄楷城,52633173,旧闻大名，尚未补番；给个四星。补后再改。,1535350938,0,8,看至第1话,2018-08-27 06:22:18
77047423272502,Mars_W,1549788,寓教于乐，很好的一部科普番。,1550234648,0,10,看至第12话,2019-02-15 12:44:08
77047423272502,Rumplestilskin0,88725393,(￣▽￣),1550225513,0,10,看至第2话,2019-02-15 10:11:53
77047423272502,二道河胡,37534323,拍的很不错，详细地介绍了人体内外的各项病症，给人的映像非常地深刻。,1550164280,0,8,看至第12话,2019-02-14 17:11:20
77047423272502,夜影为伴弩相依,69109849,真的是一部非常优秀的番剧，从科普入手，但是一点也不枯燥，真的是全年龄段皆可观看的一部有趣的番剧，题材也新颖。国漫在还需努力呀,1550162124,0,10,看至Special,2019-02-14 16:35:24
